path_name,client_site,server_site,protocol,loss_percent,avg_throughput_mbps,std_throughput_mbps,avg_latency_ms,avg_tcp_retransmits,trials
MASS_NEWY,MASS,NEWY,QUIC,0,119.7194181107635,4.806742776391157,4.6643333333333326,,3
MASS_NEWY,MASS,NEWY,QUIC,2,13.517759208968167,0.5947372747835348,4.669,,3
MASS_NEWY,MASS,NEWY,QUIC,5,7.489545878110454,0.11969993857435055,4.673,,3
MASS_NEWY,MASS,NEWY,TCP,0,594.1399399939567,140.2078233236432,4.6643333333333326,57.333333333333336,3
MASS_NEWY,MASS,NEWY,TCP,2,577.2780880784629,152.21486969649965,4.669,50.666666666666664,3
MASS_NEWY,MASS,NEWY,TCP,5,15.679411041181547,1.8496836912256296,4.673,253.33333333333334,3
MASS_UCSD,MASS,UCSD,QUIC,0,55.47739172914066,7.214224362088182,71.56533333333333,,3
MASS_UCSD,MASS,UCSD,QUIC,2,1.0857448971207146,0.04370969164277702,71.58433333333333,,3
MASS_UCSD,MASS,UCSD,QUIC,5,0.6295580833958313,0.01761507987109075,71.57633333333332,,3
MASS_UCSD,MASS,UCSD,TCP,0,71.82399756196672,3.983198236525546,71.56533333333333,0.0,3
MASS_UCSD,MASS,UCSD,TCP,2,1.8216654226104296,0.027138133760911457,71.58433333333333,106.0,3
MASS_UCSD,MASS,UCSD,TCP,5,0.9236968997955574,0.07429281580561528,71.57633333333332,300.6666666666667,3
